name,total_population,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,asians_all,other_all,white_percent,black_percent,american_indian_percent,asian_percent,native_hawaiian_percent,other_percent,two_or_more_races_percent,latino_percent,asians_all_percent,other_all_percent,nonwhite_percent,majority_nonwhite,majority_white,majority_black,majority_american_indian_and_alaska_native,majority_asian,majority_native_hawaiian,majority_other,majority_two_or_more_races,majority_latino,median_householdincome,total_occupied_housing_units,owner_occupied,renter_occupied,owner_percent,renter_percent,majority_owner,majority_renter,majorityhigherthanmedianincomeLA
Van Nuys,147518.0,23750.0,4928.0,132.0,7434.0,32.0,431.0,1518.0,64272.0,7466.0,2081.0,16.1,3.34,0.09,5.04,0.02,0.29,1.03,43.57,5.06,1.41,83.9,True,False,False,False,False,False,False,False,False,48064.82067931957,34249.604872734,8242.67559585,26006.929276884,0.2406648376376443,0.7593351623623555,False,True,False
Venice,49904.0,15951.0,1281.0,45.0,979.0,0.0,112.0,724.0,4705.0,979.0,881.0,31.96,2.57,0.09,1.96,0.0,0.22,1.45,9.43,1.96,1.76,68.04,True,False,False,False,False,False,False,False,False,104620.1395706662,12167.856558636,4222.393958041,7945.462600595,0.347012141184735,0.652987858815265,False,True,True
Vermont Knolls,28578.0,155.0,5517.0,46.0,127.0,0.0,4.0,129.0,9664.0,127.0,178.0,0.54,19.31,0.16,0.45,0.0,0.01,0.45,33.82,0.45,0.62,99.46,True,False,False,False,False,False,False,False,False,37315.79556807733,4654.181325654,1226.677717016,3427.503608638,0.2635646596436869,0.7364353403563131,False,True,False
Vermont Square,71469.0,983.0,13503.0,56.0,724.0,0.0,393.0,405.0,37246.0,724.0,854.0,1.38,18.89,0.08,1.01,0.0,0.55,0.57,52.11,1.01,1.19,98.62,True,False,False,False,False,False,False,False,True,41822.928950317015,14214.295664493,4898.36678296,9315.928881533,0.3446084771682365,0.6553915228317635,False,True,False
Vermont Vista,50330.0,210.0,6819.0,44.0,134.0,8.0,52.0,224.0,13836.0,142.0,320.0,0.42,13.55,0.09,0.27,0.02,0.1,0.45,27.49,0.28,0.64,99.58,True,False,False,False,False,False,False,False,False,36961.47608893217,5893.102100477,2467.216824808,3425.8852756690003,0.4186618155840704,0.5813381844159295,False,True,False
Vermont-Slauson,47350.0,301.0,5715.0,20.0,236.0,0.0,48.0,192.0,19260.0,236.0,261.0,0.64,12.07,0.04,0.5,0.0,0.1,0.41,40.68,0.5,0.55,99.36,True,False,False,False,False,False,False,False,False,37423.4230406237,6974.129774801,2503.730252493,4470.399522308,0.3590025326944022,0.6409974673055978,False,True,False
Vernon,46906.0,22.0,33.0,10.0,3.0,0.0,0.0,3.0,372.0,3.0,13.0,0.05,0.07,0.02,0.01,0.0,0.0,0.01,0.79,0.01,0.03,99.95,True,False,False,False,False,False,False,False,False,43924.70186780773,127.722663287805,40.97189729100079,86.7507659968042,0.3207879967134446,0.6792120032865553,False,True,False
Veterans Administration,33014.0,401.0,232.0,0.0,122.0,0.0,0.0,51.0,282.0,122.0,51.0,1.21,0.7,0.0,0.37,0.0,0.0,0.15,0.85,0.37,0.16,98.79,True,False,False,False,False,False,False,False,False,45274.21909514033,68.1737095265,16.9884464145,51.185263112,0.2491935165695563,0.7508064834304436,False,True,False
View Park-Windsor Hills,45365.0,739.0,9186.0,82.0,277.0,18.0,52.0,480.0,948.0,295.0,615.0,1.63,20.25,0.18,0.61,0.04,0.12,1.06,2.09,0.65,1.36,98.37,True,False,False,False,False,False,False,False,False,91812.99863970044,4847.4856601970005,3641.500140295,1205.985519902,0.7512142161029127,0.2487857838970872,True,False,True
Vincent,38110.0,708.0,114.0,5.0,872.0,7.0,4.0,117.0,4579.0,878.0,126.0,1.86,0.3,0.01,2.29,0.02,0.01,0.31,12.02,2.31,0.33,98.14,True,False,False,False,False,False,False,False,False,82025.50834868819,1765.314576992652,1225.3070334494,540.0075435432519,0.6941012380562811,0.3058987619437188,True,False,True
Walnut,65437.0,2600.0,940.0,14.0,14384.0,107.0,14.0,454.0,5093.0,14491.0,482.0,3.97,1.44,0.02,21.98,0.16,0.02,0.69,7.78,22.14,0.74,96.03,True,False,False,False,False,False,False,False,False,106732.12948817894,7147.8926348,5934.125962712,1213.766672088,0.8301923749975351,0.169807625002465,True,False,True
Walnut Park,35505.0,95.0,7.0,0.0,115.0,0.0,29.0,18.0,11045.0,115.0,47.0,0.27,0.02,0.0,0.32,0.0,0.08,0.05,31.11,0.32,0.13,99.73,True,False,False,False,False,False,False,False,False,53750.32033633431,2730.188889052,1324.459567684,1405.729321368,0.4851164595222898,0.5148835404777102,False,True,False
Watts,54967.0,379.0,8486.0,282.0,93.0,0.0,51.0,128.0,27527.0,93.0,460.0,0.69,15.44,0.51,0.17,0.0,0.09,0.23,50.08,0.17,0.84,99.31,True,False,False,False,False,False,False,False,True,31119.672747601253,8685.081318219,3129.757481504,5555.323836715,0.3603601816529453,0.6396398183470547,False,True,False
West Adams,43810.0,1269.0,4899.0,16.0,749.0,49.0,131.0,176.0,13049.0,798.0,323.0,2.9,11.18,0.04,1.71,0.11,0.3,0.4,29.79,1.82,0.74,97.1,True,False,False,False,False,False,False,False,False,44213.5343317673,7199.883339453,2551.790466257,4648.092873196,0.3544210851687033,0.6455789148312967,False,True,False
West Carson,48734.0,3592.0,2218.0,11.0,7821.0,69.0,239.0,560.0,7582.0,7890.0,811.0,7.37,4.55,0.02,16.05,0.14,0.49,1.15,15.56,16.19,1.66,92.63,True,False,False,False,False,False,False,False,False,73836.61229964576,7485.151905802068,5386.513125590041,2098.638780212026,0.7196264275431364,0.2803735724568636,True,False,True
West Compton,17484.0,60.0,1197.0,0.0,57.0,0.0,0.0,78.0,1717.0,57.0,78.0,0.34,6.84,0.0,0.33,0.0,0.0,0.45,9.82,0.33,0.45,99.66,True,False,False,False,False,False,False,False,False,53593.302423236855,877.9805674130001,602.584794653,275.39577276,0.6863304462746104,0.3136695537253895,True,False,False
West Covina,170844.0,9609.0,3049.0,111.0,23498.0,277.0,192.0,1515.0,45748.0,23775.0,1818.0,5.62,1.78,0.07,13.75,0.16,0.11,0.89,26.78,13.92,1.06,94.38,True,False,False,False,False,False,False,False,False,84362.6882510079,23624.000795021,15024.873104325,8599.127690696,0.6360003639811782,0.3639996360188217,True,False,True
West Hills,78460.0,24568.0,1459.0,55.0,6349.0,2.0,198.0,1748.0,6175.0,6350.0,2001.0,31.31,1.86,0.07,8.09,0.0,0.25,2.23,7.87,8.09,2.55,68.69,True,False,False,False,False,False,False,False,False,115745.89314996183,13299.756073355,11262.465796636,2037.290276719,0.8468174705248507,0.1531825294751494,True,False,True
West Hollywood,68333.0,23496.0,1227.0,47.0,1692.0,99.0,71.0,1299.0,3360.0,1791.0,1417.0,34.39,1.8,0.07,2.48,0.14,0.1,1.9,4.92,2.62,2.07,65.61,True,False,False,False,False,False,False,False,False,74189.2500146385,20195.867138003003,3562.3303631360004,16633.536774867,0.1763890769727181,0.8236109230272817,False,True,True
West Los Angeles,32198.0,9003.0,498.0,0.0,2303.0,25.0,0.0,759.0,867.0,2328.0,759.0,27.96,1.55,0.0,7.15,0.08,0.0,2.36,2.69,7.23,2.36,72.04,True,False,False,False,False,False,False,False,False,102092.86330803065,5800.174470099,2628.01250311,3172.161966989,0.4530919745014401,0.5469080254985599,False,True,True
West Puente Valley,51672.0,567.0,209.0,0.0,2212.0,98.0,76.0,84.0,12007.0,2310.0,160.0,1.1,0.4,0.0,4.28,0.19,0.15,0.16,23.24,4.47,0.31,98.9,True,False,False,False,False,False,False,False,False,73266.48554708024,3464.197397191,2548.014753244,916.182643947,0.7355281645642071,0.2644718354357928,True,False,True
West San Dimas,15392.0,203.0,11.0,0.0,63.0,1.0,0.0,26.0,111.0,64.0,26.0,1.32,0.07,0.0,0.41,0.01,0.0,0.17,0.72,0.41,0.17,98.68,True,False,False,False,False,False,False,False,False,132321.6641901359,140.81097328899995,126.521296251,14.289677038,0.898518725464159,0.1014812745358411,True,False,True
West Whittier-Los Nietos,47543.0,831.0,96.0,139.0,320.0,0.0,0.0,54.0,13186.0,320.0,193.0,1.75,0.2,0.29,0.67,0.0,0.0,0.11,27.74,0.67,0.41,98.25,True,False,False,False,False,False,False,False,False,75982.08220207365,3802.512852155,2621.602478328,1180.910373827,0.6894394786443018,0.3105605213556983,True,False,True
Westchester,104900.0,12759.0,4045.0,12.0,4059.0,78.0,208.0,1693.0,5742.0,4137.0,1913.0,12.16,3.86,0.01,3.87,0.07,0.2,1.61,5.47,3.94,1.82,87.84,True,False,False,False,False,False,False,False,False,105547.32242481942,10854.9800555829,4674.8486156233,6180.131439959599,0.4306639525531828,0.5693360474468171,False,True,True
Westlake,146405.0,8128.0,5537.0,198.0,20546.0,240.0,175.0,1398.0,76166.0,20786.0,1772.0,5.55,3.78,0.14,14.03,0.16,0.12,0.95,52.02,14.2,1.21,94.45,True,False,False,False,False,False,False,False,True,37425.36453346535,39646.169764259,1824.498847429,37821.67091683,0.0460195488814605,0.9539804511185396,False,True,False
Westlake Village,15280.0,4984.0,143.0,0.0,363.0,0.0,11.0,180.0,492.0,363.0,191.0,32.62,0.93,0.0,2.37,0.0,0.07,1.18,3.22,2.37,1.25,67.38,True,False,False,False,False,False,False,False,False,134942.6351533727,2455.782386339,2047.555358442,408.227027897,0.8337690545514616,0.1662309454485385,True,False,True
Westmont,79767.0,434.0,14167.0,30.0,83.0,0.0,83.0,320.0,20202.0,83.0,433.0,0.54,17.76,0.04,0.1,0.0,0.1,0.4,25.33,0.1,0.54,99.46,True,False,False,False,False,False,False,False,False,38387.53140470888,10774.426268182,3077.219838719,7697.206429463,0.2856040555780079,0.7143959444219921,False,True,False
Westwood,80557.0,24659.0,1598.0,60.0,14540.0,95.0,130.0,2772.0,6495.0,14635.0,2962.0,30.61,1.98,0.07,18.05,0.12,0.16,3.44,8.06,18.17,3.68,69.39,True,False,False,False,False,False,False,False,False,72680.9738808903,15604.26682850976,4805.38434767328,10798.88248083648,0.3079532284652815,0.6920467715347185,False,True,True
Whittier,103576.0,14885.0,728.0,196.0,3436.0,17.0,536.0,724.0,38969.0,3453.0,1456.0,14.37,0.7,0.19,3.32,0.02,0.52,0.7,37.62,3.33,1.41,85.63,True,False,False,False,False,False,False,False,False,75139.82817059006,19540.15532628111,11610.010191167445,7930.145135113669,0.5941616121931342,0.4058383878068659,True,False,True
Whittier Narrows,22002.0,321.0,34.0,13.0,773.0,0.0,1.0,12.0,3851.0,773.0,26.0,1.46,0.15,0.06,3.52,0.0,0.0,0.06,17.5,3.52,0.12,98.54,True,False,False,False,False,False,False,False,False,65263.03393264962,1358.715466119,993.183626982,365.531839137,0.7309724896404574,0.2690275103595426,True,False,False
Willowbrook,90832.0,434.0,10500.0,235.0,320.0,5.0,46.0,355.0,26166.0,325.0,635.0,0.48,11.56,0.26,0.35,0.01,0.05,0.39,28.81,0.36,0.7,99.52,True,False,False,False,False,False,False,False,False,51639.876787860216,9381.327527019756,4784.63048067493,4596.697046344825,0.5100163560961296,0.4899836439038704,True,False,False
Wilmington,82306.0,2709.0,1113.0,48.0,1340.0,153.0,29.0,378.0,38247.0,1493.0,455.0,3.29,1.35,0.06,1.63,0.19,0.03,0.46,46.47,1.81,0.55,96.71,True,False,False,False,False,False,False,False,False,51667.42492267339,11451.027025749012,4649.796537741,6801.230488008013,0.4060593453570036,0.5939406546429965,False,True,False
Windsor Square,18391.0,2168.0,295.0,0.0,2535.0,0.0,27.0,305.0,834.0,2535.0,333.0,11.79,1.6,0.0,13.78,0.0,0.15,1.66,4.54,13.78,1.81,88.21,True,False,False,False,False,False,False,False,False,80382.13954463328,2428.841260673,914.732926935,1514.108333738,0.3766128901653868,0.6233871098346133,False,True,True
Winnetka,82448.0,11860.0,1755.0,50.0,7389.0,97.0,288.0,958.0,22063.0,7485.0,1296.0,14.39,2.13,0.06,8.96,0.12,0.35,1.16,26.76,9.08,1.57,85.61,True,False,False,False,False,False,False,False,False,67422.45284961048,13415.912410138,6697.028486518,6718.88392362,0.4991854658694147,0.5008145341305853,False,True,False
Woodland Hills,112794.0,37980.0,2639.0,96.0,6562.0,62.0,251.0,2050.0,7458.0,6624.0,2396.0,33.67,2.34,0.09,5.82,0.06,0.22,1.82,6.61,5.87,2.12,66.33,True,False,False,False,False,False,False,False,False,102965.79997660664,22578.536330576,13247.008484036,9331.52784654,0.586708026157427,0.413291973842573,True,False,True
